station,daily_avg,total_trips,mape,rmse,mae,correlation,mape_rank
14th St & New York Ave NW,22.062927496580027,32256,55.94952163330811,10.270148411192427,7.3145539720431225,0.7312478912551221,223.0
Potomac Ave & 8th St SE,12.367305061559508,18081,56.04490132480491,6.237859445947825,4.8909469627577105,0.686996650455932,224.0
Georgetown Harbor / 30th St NW,37.41518467852257,54701,56.6509062320671,20.32820190010576,16.257634245285857,0.7397343004674517,225.0
10th & E St NW,30.734610123119015,44934,56.803965573384204,10.427445012063867,8.472553911329396,0.6713131232290158,226.0
Crystal Dr & 23rd St S,11.554719562243502,16893,57.365413312567185,6.413410090448805,5.050333201432518,0.7123166451420493,227.0
Eads St & 15th St S,12.104651162790697,17697,57.37032710442131,5.799844510646955,4.58395185013334,0.780776032331861,228.0
Union Market,28.34952120383037,41447,57.71372165960332,20.004504095453182,16.255942228914442,0.7685407360736599,229.0
4th St & Madison Dr NW,76.54240766073872,111905,58.37044827062577,31.5038147736982,24.671449922238807,0.8076962480708992,230.0
Oklahoma Ave & D St NE,11.900136798905608,17398,59.274000645423065,6.069974255183726,4.759874042273936,0.63280520460486,231.0
19th St N & Ft Myer Dr,13.177838577291382,19266,59.738853961589534,10.414350799008531,7.9022320613583235,0.6486462117391383,232.0
13th & E St SE,11.42954856361149,16710,59.854861888042606,5.176376460605305,4.1608385494194735,0.6732468840918039,233.0
15th St & Pennsylvania Ave NW,38.89466484268126,56864,59.91618066513775,15.03772532898685,10.769864387057835,0.7034876548556621,234.0
Half & Water St SW,14.651162790697674,21420,59.9428714735266,8.01936404413886,6.690551793303743,0.5268679754280352,235.0
34th St & Wisconsin Ave NW,26.527359781121753,38783,60.71152502383256,17.616262801324034,14.280269700181734,0.6626519956272481,236.0
19th St & Pennsylvania Ave NW,16.76265389876881,24507,61.290885699265566,5.524631550998382,4.158575461862151,0.8140297506456423,237.0
1st St & Potomac Ave SE,24.316005471956224,35550,61.49110138158592,12.910147426495792,10.247773849952099,0.7900611519588667,238.0
Thomas Jefferson St NW & Water/K St NW,24.96511627906977,36499,61.58010443689983,16.29212145239616,13.096033550308613,0.6603607919612664,239.0
Tenleytown / Wisconsin Ave & Albemarle St NW,19.459644322845417,28450,62.384980826199985,13.559884702932997,11.394127572091888,0.7321158392624345,240.0
3rd & D St SE,27.145690834473324,39687,62.502491269759894,14.467558290858426,12.21165600532041,0.7081119007042381,241.0
Pentagon Row Plaza / Army Navy Dr & Joyce St,11.970588235294118,17501,62.94855210149635,7.151675020362446,5.8076785591334605,0.7750118371290995,242.0
Maine Ave & 9th St SW,53.127906976744185,77673,64.01342549088729,23.275281937494654,17.714645581353487,0.7599637143127284,243.0
Crystal Dr & 20th St S,14.664158686730506,21439,64.38622859068356,7.837686278573546,5.976612021564073,0.745439295759827,244.0
4th & D St NW / Judiciary Square,14.448016415868674,21123,64.82087410467369,7.801911185807362,6.099411607435085,0.7699215663064646,245.0
